experimento,distancia_km,longitud_clave_bits,retardo_clasico_extra_ps,retardo_clasico_extra_s,qber_media,qber_ic95_bajo,qber_ic95_alto,tasa_tamizada_media_bps,tasa_tamizada_ic95_bajo_bps,tasa_tamizada_ic95_alto_bps,proxy_asintotico_monofotonico_media_bps,proxy_asintotico_monofotonico_ic95_bajo_bps,proxy_asintotico_monofotonico_ic95_alto_bps,repeticiones,corridas_completas,corridas_incompletas,claves_por_repeticion,horizonte_s
control_temporal,50.0,128,0,0.0,0.0016493055555555556,0.0010561643034713562,0.0025746960281472654,127270.71489822166,125765.26312413129,128776.16667231203,122937.89894033577,120555.85714459774,125319.9407360738,30,30,0,3,8.0
control_temporal,50.0,128,1000000000,0.001,0.0019965277777777776,0.0013308093250604981,0.002994263958774379,54526.95925853676,54255.64241445454,54798.27610261898,52359.55784335725,51382.089301482665,53337.02638523184,30,30,0,3,8.0
control_temporal,50.0,2048,0,0.0,0.002001953125,0.0018080121509890515,0.0022166514679407157,210607.4707422815,209650.42061308798,211564.52087147502,201162.8737018977,200149.6986673419,202176.04873645352,30,30,0,3,8.0
control_temporal,50.0,2048,1000000000,0.001,0.0020616319444444445,0.0018646806653134242,0.0022793381049949295,185306.81057395047,184530.34171707387,186083.27943082707,176786.822365787,175871.588983939,177702.055747635,30,30,0,3,8.0
