experimento,visibilidad_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
visibilidad,0.82,24,40048,40049,30.0,0.1,0.15,200.0,0.82,4,1024,15,0.0146484375,0.0067419999389999995,151883.71540565212,115719.96222951541,4735,2071,2221,9027,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,25,40050,40051,30.0,0.1,0.15,200.0,0.82,4,1024,14,0.013671875,0.00670999994,152608.04905461744,118242.46237185615,4706,1960,2066,8732,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,26,40052,40053,30.0,0.1,0.15,200.0,0.82,4,1024,23,0.0224609375,0.0065819999439999995,155575.81414649737,103474.39859864942,4489,2065,2099,8653,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,27,40054,40055,30.0,0.1,0.15,200.0,0.82,4,1024,20,0.01953125,0.006645999942,154077.64203077086,107883.76659587643,4755,1981,2026,8762,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,28,40056,40057,30.0,0.1,0.15,200.0,0.82,4,1024,21,0.0205078125,0.0067419999389999995,151883.71540565212,104549.17451323367,4731,2058,2017,8806,5.999998200501011e-07,150453.52108594033
visibilidad,0.82,29,40058,40059,30.0,0.1,0.15,200.0,0.82,4,1024,21,0.0205078125,0.0067419999389999995,151883.71540565212,104549.17451323367,4575,2076,2078,8729,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,0,40100,40101,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,21,0.0205078125,0.00670999994,152608.04905461744,105047.76967117556,4590,2151,2033,8774,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,1,40102,40103,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,25,0.0244140625,0.006645999942,154077.64203077086,98980.06893558094,4773,2029,1999,8801,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,2,40104,40105,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,18,0.017578125,0.006677999941,153339.32450539386,111070.77233798605,4700,2075,2090,8865,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,3,40106,40107,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,12,0.01171875,0.006645999942,154077.64203077086,123464.87360449013,4702,2069,2019,8790,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,4,40108,40109,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,26,0.025390625,0.006677999941,153339.32450539386,96794.30384353001,4604,2055,2078,8737,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,5,40110,40111,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,13,0.0126953125,0.00670999994,152608.04905461744,120246.75440070558,4689,2167,2089,8945,5.999998200501011e-07,150453.52108594033
visibilidad,0.8362727272727273,6,40112,40113,30.0,0.1,0.15,200.0,0.8362727272727273,4,1024,20,0.01953125,0.006677999941,153339.32450539386,107366.80336531562,4685,2116,2061,8862,5.999998200501011e-07,150453.52108594033
