experimento,distancia_km_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps
distancia,1.0,25,10050,10051,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005088999968,50304.57881897161,46297.87276545311,1751,899,863,3513,2.9999995498908305e-07,380190.6912620767
distancia,1.0,26,10052,10053,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.0052169999639999996,49070.34728129816,45161.946453457735,1795,959,961,3715,2.9999995498908305e-07,380190.6912620767
distancia,1.0,27,10054,10055,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005088999968,50304.57881897161,46297.87276545311,1691,888,884,3463,2.9999995498908305e-07,380190.6912620767
distancia,1.0,28,10056,10057,1.0,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005088999968,50304.57881897161,46297.87276545311,1742,886,916,3544,2.9999995498908305e-07,380190.6912620767
distancia,1.0,29,10058,10059,1.0,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005152999966,49679.7985036121,49679.798503606595,1830,814,879,3523,2.9999995498908305e-07,380190.6912620767
distancia,8.615384615384615,0,10100,10101,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005791384567,44203.59191111544,44203.59191111055,1523,763,727,3013,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,1,10102,10103,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005855384565,43720.44178450984,43720.441784505,1426,725,731,2882,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,2,10104,10105,8.615384615384615,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.005887384564,43482.80585667548,37291.93569130693,1459,765,784,3008,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,3,10106,10107,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00569538457,44948.6767493209,44948.67674931592,1433,734,735,2902,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,4,10108,10109,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0056633845709999995,45202.65166361418,45202.65166360918,1464,695,733,2892,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,5,10110,10111,8.615384615384615,0.1,0.1,100.0,0.98,1,256,2,0.0078125,0.0058233845659999995,43960.68937206439,37701.78047875142,1451,743,758,2952,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,6,10112,10113,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00569538457,44948.6767493209,44948.67674931592,1460,682,740,2882,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,7,10114,10115,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005887384564,43482.80585667548,40019.44674424005,1453,722,822,2997,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,8,10116,10117,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005855384565,43720.44178450984,40238.15522385914,1481,809,774,3064,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,9,10118,10119,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.00601538456,42557.54514886742,42557.54514886271,1482,768,801,3051,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,10,10120,10121,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005727384569,44697.53984840196,44697.539848397006,1458,744,767,2969,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,11,10122,10123,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0056633845709999995,45202.65166361418,45202.65166360918,1430,711,737,2878,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,12,10124,10125,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005919384563,43247.73923292066,43247.73923291587,1525,805,750,3080,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,13,10126,10127,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.005759384568,44449.19365558157,40908.86278560778,1349,776,752,2877,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,14,10128,10129,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005791384567,44203.59191111544,44203.59191111055,1507,749,720,2976,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,15,10130,10131,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.005855384565,43720.44178450984,43720.441784505,1454,699,776,2929,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,16,10132,10133,8.615384615384615,0.1,0.1,100.0,0.98,1,256,1,0.00390625,0.0058233845659999995,43960.68937206439,40459.26734728701,1502,746,722,2970,2.9999995498908305e-07,268109.4429807507
distancia,8.615384615384615,17,10134,10135,8.615384615384615,0.1,0.1,100.0,0.98,1,256,0,0.0,0.0059833845609999995,42785.14900556799,42785.149005563246,1508,768,787,3063,2.9999995498908305e-07,268109.4429807507
