experimento,indice_punto,repeticion,variable,semilla_alice,semilla_bob,distancia_km,atenuacion_db_km,eficiencia_detector,conteos_oscuros_hz,mu,frecuencia_hz,visibilidad,longitud_clave_bits,claves_solicitadas,claves_completadas,horizonte_s,retardo_clasico_extra_s,corrida_completa,pulsos_emitidos,clics,slots_con_clic,slots_validos,slots_validos_con_bases_comparadas,bits_observados_con_bases_coincidentes,bits_tamizados,errores,qber,tasa_tamizada_bps,tiempo_hasta_ultima_clave_s,fraccion_tamizado,ganancia_clic_observada,tasa_clics_bps,contabilidad_consistente,distancia_km_barrida,proxy_asintotico_monofotonico_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,eficiencia_barrida,conteos_oscuros_barridos_hz,retardo_clasico_extra_ps,visibilidad_barrida,intensidad_media_fotones,intensidad_senuelo,mu_referencia,mu_senal,nu_debil,y0,corrida_pareada_completa,E_reference,E_mu,E_nu,q_reference,q_mu,q_nu,y1_cota_inferior,e1_cota_superior,q1_cota_inferior,e1_clamp_limite_fisico,tasa_sin_senuelos_referencia_bps,tasa_sin_senuelos_pareada_bps,tasa_con_senuelos_bps
decoy_reference_mu,4,29,0.1,50858,50859,42.77777777777778,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,1925120,21760,21746,16054,14274,6507,6144,23,0.0037434895833333335,245001.0419755944,0.025077444367,0.4558638083228247,0.011295919215425531,867153.7530601034,True,,226178.18505544736,11775,5118,5064,21957,2.3999997122992056e-07,66893.59910215576,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,4,29,0.6,60858,60859,42.77777777777778,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,610927,37688,37415,27079,17973,8109,6144,18,0.0029296875,696484.5812613522,0.008821444387,0.4511767651477216,0.06124299629906683,4241368.914045164,True,,653046.5253147039,19480,9212,9218,37910,2.3999997122992056e-07,399639.77857366827,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0037434895833333335,0.0029296875,0.0026041666666666665,0.0016723399775538939,0.009990994464341707,0.0033416440361304645,0.01543895027902393,0.0034033689068410085,0.005083845337323269,False,0.0,0.0,183297.32227228745
decoy_weak_nu,4,29,0.2,70858,70859,42.77777777777778,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1146880,25449,25381,18519,15296,6880,6144,16,0.0026041666666666665,396964.7608161158,0.015477444364,0.4497907949790795,0.02213047572544643,1639870.213911757,True,,374577.9339741883,13530,6041,6116,25687,2.3999997122992056e-07,133665.76144521858,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,0,0.1,51000,51001,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2826240,20836,20818,15154,14007,6375,6144,14,0.0022786458333333335,167971.85944408216,0.036577555433,0.4551295780681088,0.007365970335144928,569146.8375499515,True,,159523.72220779228,11009,4992,4990,20991,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,0,0.6,61000,61001,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,764512,31923,31794,23201,16744,7588,6144,18,0.0029296875,568526.2532075301,0.010806888803,0.4531772575250836,0.04158731321418107,2942012.3200651384,True,,533068.6481744905,16869,7617,7580,32066,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0022786458333333335,0.0029296875,0.0017903645833333333,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.002309280839971694,0.003288969415507445,False,0.0,0.0,119780.20946664903
decoy_weak_nu,5,0,0.2,71000,71001,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1546240,22623,22593,16572,14395,6630,6144,11,0.0017903645833333333,298577.7401552373,0.020577555436,0.46057658909343524,0.01461157388245033,1097943.828666549,True,,286376.5656797594,12117,5277,5375,22769,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,1,0.1,51002,51003,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2785280,20531,20514,15033,13929,6355,6144,20,0.0032552083333333335,170356.45024442143,0.036065555435,0.45624237202957857,0.007365148207720588,568797.5619000751,True,,158733.5608337633,10916,4900,4867,20683,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,1,0.6,61002,61003,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,771338,31780,31644,23076,16720,7574,6144,22,0.0035807291666666665,564072.2273058931,0.010892222134999999,0.45299043062200955,0.041024816617358406,2905192.311339141,True,,522339.76888995164,16706,7594,7639,31939,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.0032552083333333335,0.0035807291666666665,0.0029296875,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.003817050286240411,0.003288969415507445,False,0.0,0.0,116504.94833759374
decoy_weak_nu,5,1,0.2,71002,71003,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1576960,22767,22734,16583,14342,6603,6144,18,0.0029296875,293108.0195664982,0.020961555433,0.4603960396039604,0.014416345373376624,1084556.920056115,True,,274827.58250458544,12096,5474,5354,22924,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,2,0.1,51004,51005,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2764800,20667,20643,15157,14018,6354,6144,15,0.00244140625,171574.31655304285,0.035809555436,0.4532743615351691,0.007466362847222222,576466.2461921327,True,,162418.77862886083,11051,4891,4897,20839,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,2,0.6,61004,61005,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,771338,31686,31543,22901,16644,7586,6144,15,0.00244140625,564072.2273058931,0.010892222134999999,0.4557798606104302,0.040893875317954,2895919.6396337543,True,,533972.2404731882,16606,7656,7586,31848,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.00244140625,0.00244140625,0.004231770833333333,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.0055402153676903714,0.003288969415507445,False,0.0,0.0,117620.1307362812
decoy_weak_nu,5,2,0.2,71004,71005,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1546240,22620,22578,16591,14330,6614,6144,26,0.004231770833333333,298577.7401552373,0.020577555436,0.46154919748778783,0.014601872930463576,1097214.879105623,True,,273130.359900879,12049,5381,5355,22785,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,3,0.1,51006,51007,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2785280,20610,20595,15026,13907,6356,6144,27,0.00439453125,170356.45024442143,0.036065555435,0.45703602502336954,0.0073942296645220585,571043.4721327896,True,,155367.00124542532,11025,4860,4879,20764,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_signal_mu,5,3,0.6,61006,61007,52.22222222222222,0.2,0.12,80.0,0.6,80000000.0,0.97,2048,3,3,1.8,0.001,True,771338,31871,31702,23178,16798,7524,6144,18,0.0029296875,564072.2273058931,0.010892222134999999,0.4479104655316109,0.04110001063087777,2910517.2119224323,True,,528892.4090774842,16683,7614,7719,32016,2.3999997122992056e-07,259151.31506078382,,,,,0.6,mu_signal,0.1,0.6,0.2,2.3999997122992056e-07,True,0.00439453125,0.0029296875,0.004720052083333333,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.009988155009842499,0.006186402273234108,0.003288969415507445,False,0.0,0.0,115737.15863110407
decoy_weak_nu,5,3,0.2,71006,71007,52.22222222222222,0.2,0.12,80.0,0.2,80000000.0,0.97,2048,3,3,1.8,0.001,True,1587200,23031,22993,16847,14676,6631,6144,29,0.004720052083333333,291329.04293835757,0.021089555432,0.45182611065685474,0.014486517137096774,1090255.3197073007,True,,264103.4843991238,12272,5445,5443,23160,2.3999997122992056e-07,86577.3861172725,,,,,0.2,nu,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
decoy_reference_mu,5,4,0.1,51008,51009,52.22222222222222,0.2,0.12,80.0,0.1,80000000.0,0.97,2048,3,3,1.8,0.001,True,2826240,20902,20889,15170,14027,6392,6144,19,0.0030924479166666665,167971.85944408216,0.036577555433,0.45569259285663366,0.0073910920516304345,571087.9186079805,True,,157001.51241172885,11134,5040,4881,21055,2.3999997122992056e-07,43316.93713180762,,,,,0.1,mu_reference,0.1,0.6,0.2,2.3999997122992056e-07,True,,,,,,,,,,,,,
