experimento,distancia_km,tasa_sin_senuelos_media_bps,tasa_sin_senuelos_ic95_bajo_bps,tasa_sin_senuelos_ic95_alto_bps,tasa_sin_senuelos_pareada_media_bps,tasa_sin_senuelos_pareada_ic95_bajo_bps,tasa_sin_senuelos_pareada_ic95_alto_bps,tasa_con_senuelos_media_bps,tasa_con_senuelos_ic95_bajo_bps,tasa_con_senuelos_ic95_alto_bps,q_reference,q_mu,q_nu,e_reference_media,e_reference_ic95_bajo,e_reference_ic95_alto,e_mu_media,e_mu_ic95_bajo,e_mu_ic95_alto,e_nu_media,e_nu_ic95_bajo,e_nu_ic95_alto,mu_sin_senuelos,q_sin_senuelos,p_multifoton_sin_senuelos,q1_sin_senuelos_cota_inferior,y1_cota_inferior,q1_cota_inferior,e1_media,corridas_e1_clamp_limite_fisico,y0,mu,mu_senal,nu,repeticiones,corridas_completas,corridas_incompletas,claves_por_repeticion,horizonte_s
estados_senuelo,5.0,166703.71202540712,164856.44342659684,168550.9806242174,0.0,0.0,0.0,1026267.8674473515,1019081.149689019,1033454.585205684,0.00948689160967675,0.05558715525042646,0.018883546639019144,0.0034179687499999996,0.0031262801363343053,0.003709657363665694,0.0038845486111111116,0.0035759974676942007,0.004193099754528022,0.003271484375,0.00301694081490369,0.00352602793509631,0.1,0.00948689160967675,0.004678840160444397,0.004807834288278057,0.08857618574741652,0.029166984851404825,0.0042525468766530005,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,14.444444444444445,44013.680565123446,42960.19451896028,45067.166611286615,0.0,0.0,0.0,668377.842369326,664975.741892791,671779.9428458611,0.006151344725538688,0.03634396013340613,0.012264613352680587,0.0032063802083333332,0.002935921696985973,0.0034768387196806934,0.003434244791666667,0.0031888733320963782,0.003679616251236956,0.0031521267361111108,0.0029025690949125572,0.0034016843773096643,0.1,0.006151344725538688,0.004678840160444397,0.001472287404139994,0.05716280012591395,0.018822965916491192,0.004119721313823999,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,23.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,430973.3269292873,428272.30694647145,433674.3469121031,0.00398623156916289,0.023679130245175983,0.007956335005751769,0.0032335069444444442,0.0029599656738753576,0.003507048215013531,0.0033203125000000003,0.003012643248042804,0.0036279817519571968,0.0034613715277777776,0.0031719037773801613,0.003750839278175394,0.1,0.00398623156916289,0.004678840160444397,0.0,0.03692741440953598,0.012159716831291741,0.0045382579105463184,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,279863.22344125883,278181.8889359986,281544.55794651905,0.0025822219425131188,0.015392475766546121,0.005157537252703404,0.0028917100694444437,0.0026410321121584715,0.003142388026730416,0.0032660590277777775,0.0029919595724234474,0.0035401584831321075,0.0031195746527777775,0.0028960802847637496,0.0033430690207918055,0.1,0.0025822219425131188,0.004678840160444397,0.0,0.023871693794452517,0.007860637996601461,0.004090941983799447,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,42.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,182305.47294205072,181149.08970838413,183461.85617571732,0.0016723399775538939,0.009990994464341707,0.0033416440361304645,0.0030490451388888885,0.0027560784570627977,0.0033420118207149793,0.003038194444444445,0.002832351546033757,0.0032440373428551327,0.0028971354166666668,0.002616394057829178,0.0031778767755041557,0.1,0.0016723399775538939,0.004678840160444397,0.0,0.01543895027902393,0.005083845337323269,0.0037906199672382,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,52.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,117383.71349723979,116564.52305785927,118202.9039366203,0.0010829234282951905,0.006478782876519595,0.0021644346529318126,0.0030327690972222223,0.0027598104829229374,0.003305727711521507,0.0031521267361111108,0.002878701897466782,0.0034255515747554396,0.0031032986111111114,0.0028009185579577884,0.0034056786642644343,0.1,0.0010829234282951905,0.004678840160444397,0.0,0.009988155009842499,0.003288969415507445,0.004046805630433739,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,61.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,75827.51277337366,75349.82547669022,76305.2000700571,0.0007012037377226443,0.00419865905704242,0.0014016761251945953,0.0031412760416666663,0.002840917583683257,0.0034416344996500755,0.0032552083333333335,0.0030195545102937277,0.0034908621563729393,0.0030653211805555564,0.002774908950018749,0.0033557334110923638,0.1,0.0007012037377226443,0.004678840160444397,0.0,0.006463103470168936,0.002128215833825036,0.003967029059145426,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,71.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,49328.70220011513,48930.90897444423,49726.49542578602,0.00045403568335566913,0.002719927010075174,0.0009076254361684022,0.0031901041666666666,0.0029194338171072785,0.0034607745162260548,0.0030598958333333333,0.0026787106586777035,0.003441081007988963,0.0030381944444444445,0.0027671792318454186,0.0033092096570434704,0.1,0.00045403568335566913,0.004678840160444397,0.0,0.0041826964662449685,0.0013773074945547623,0.003882746604304774,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,80.55555555555556,0.0,0.0,0.0,0.0,0.0,0.0,32002.213022394233,31855.63121577827,32148.794829010196,0.0002940091804461975,0.0017615610844756713,0.0005876920605690783,0.0028754340277777775,0.002620898807493081,0.003129969248062474,0.0029296874999999996,0.0027022855094616426,0.0031570894905383565,0.003092447916666666,0.0028606083957890983,0.003324287437544234,0.1,0.0002940091804461975,0.004678840160444397,0.0,0.002707153969768249,0.0008914305595841708,0.003878216880610892,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
estados_senuelo,90.0,0.0,0.0,0.0,0.0,0.0,0.0,15340.047957931625,14819.752588569783,15860.343327293467,0.0001904090529901703,0.0011407119914508268,0.00038054194173176015,0.009874131944444446,0.008794781011400953,0.010953482877487939,0.013427734375,0.011869092133896838,0.014986376616103162,0.010286458333333331,0.009635904341561209,0.010937012325105454,0.1,0.0001904090529901703,0.004678840160444397,0.0,0.0017522683581815814,0.0005769991587176563,0.01330017220081567,0,2.3999997122992056e-07,0.1,0.6,0.2,30,30,0,3,1.8
