experimento,eficiencia_barrida,repeticion,semilla_alice,semilla_bob,distancia_km,mu,eficiencia_detector,conteos_oscuros_hz,visibilidad,claves_completadas,bits_tamizados,errores,qber,tiempo_hasta_ultima_clave_s,tasa_tamizada_bps,indicador_ideal_bps,clics_detector_0,clics_detector_1,clics_detector_2,clics_detector_total,rendimiento_fondo_pulso,referencia_tasa_tamizada_bps,conteos_oscuros_barridos_hz
eficiencia_detector,0.05,23,20046,20047,5.0,0.1,0.05,100.0,0.98,4,1024,2,0.001953125,0.0008369999789999999,1223416.9960474994,1169526.490226373,2020,981,899,3900,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,24,20048,20049,5.0,0.1,0.05,100.0,0.98,4,1024,2,0.001953125,0.00080499998,1272049.7210447136,1216016.9839500093,1966,959,932,3857,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,25,20050,20051,5.0,0.1,0.05,100.0,0.98,4,1024,0,0.0,0.0008369999789999999,1223416.9960474994,1223416.9960473638,2000,956,870,3826,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,26,20052,20053,5.0,0.1,0.05,100.0,0.98,4,1024,1,0.0009765625,0.00080499998,1272049.7210447136,1241348.2305920776,1939,893,918,3750,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,27,20054,20055,5.0,0.1,0.05,100.0,0.98,4,1024,0,0.0,0.0008369999789999999,1223416.9960474994,1223416.9960473638,1947,962,940,3849,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,28,20056,20057,5.0,0.1,0.05,100.0,0.98,4,1024,5,0.0048828125,0.0008369999789999999,1223416.9960474994,1105775.1996182385,1983,995,985,3963,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.05,29,20058,20059,5.0,0.1,0.05,100.0,0.98,4,1024,4,0.00390625,0.00080499998,1272049.7210447136,1170732.3173938908,1913,917,917,3747,2.9999995498908305e-07,158562.5379473088,
eficiencia_detector,0.12272727272727273,0,20100,20101,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,4,0.00390625,0.00080499998,1272049.7210447136,1170732.3173938908,1860,900,927,3687,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,1,20102,20103,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.0008369999789999999,1223416.9960474994,1147115.441999959,2018,894,890,3802,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,2,20104,20105,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,1,0.0009765625,0.0008369999789999999,1223416.9960474994,1193889.2782214251,2017,953,960,3930,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,3,20106,20107,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,1,0.0009765625,0.000868999978,1178365.9676916585,1149925.576637538,2034,990,958,3982,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,4,20108,20109,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.0008369999789999999,1223416.9960474994,1169526.490226373,1983,901,899,3783,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,5,20110,20111,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.0008369999789999999,1223416.9960474994,1147115.441999959,2001,942,911,3854,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,6,20112,20113,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.00080499998,1272049.7210447136,1192715.0617625376,1958,928,916,3802,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,7,20114,20115,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.000868999978,1178365.9676916585,1126459.9223723086,2035,979,960,3974,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,8,20116,20117,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.0008369999789999999,1223416.9960474994,1169526.490226373,1965,941,973,3879,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,9,20118,20119,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.000868999978,1178365.9676916585,1126459.9223723086,2062,994,1009,4065,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,10,20120,20121,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,1,0.0009765625,0.0008369999789999999,1223416.9960474994,1193889.2782214251,1999,967,999,3965,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,11,20122,20123,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,2,0.001953125,0.00080499998,1272049.7210447136,1216016.9839500093,1924,864,963,3751,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,12,20124,20125,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,3,0.0029296875,0.00080499998,1272049.7210447136,1192715.0617625376,1977,925,925,3827,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,13,20126,20127,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,4,0.00390625,0.000868999978,1178365.9676916585,1084510.3750824672,2056,964,952,3972,2.9999995498908305e-07,388060.30268486944,
eficiencia_detector,0.12272727272727273,14,20128,20129,5.0,0.1,0.12272727272727273,100.0,0.98,4,1024,0,0.0,0.00080499998,1272049.7210447136,1272049.7210445728,1949,933,876,3758,2.9999995498908305e-07,388060.30268486944,
